Lat,Lng,SubCategory,Distance to light
37.29471758,-121.8524311,CON-Construction Material,0.0333808
37.29512049,-121.8724806,CON-Construction Material,0.0396706
37.29565919,-121.9766462,CON-Construction Material,0.1438362
37.29599103,-121.961923,CON-Construction Material,0.002399401
37.29607084,-121.7850923,CON-Construction Material,0.1744313
37.29607084,-121.7850923,CON-Construction Material,0.1744313
37.29771373,-121.8376256,CON-Construction Material,2.76E-06
37.29941637,-121.8124982,CON-Construction Material,0.1521253
37.30002084,-121.8665838,CON-Construction Material,0.0294015
37.30634893,-121.8571227,CON-Construction Material,0.0628203
37.30795852,-121.8476539,CON-Construction Material,0.0300258
37.30882135,-121.9561665,CON-Construction Material,0.0331387
37.30958637,-121.9960584,CON-Construction Material,0.0535606
37.30986711,-122.0232056,CON-Construction Material,0.0538623
37.31037359,-121.8005016,CON-Construction Material,0.1688417
37.31212357,-121.9303995,CON-Construction Material,0.01289
37.31222857,-122.0322694,CON-Construction Material,0.2109394
37.31396582,-121.791524,CON-Construction Material,0.081458
37.31432463,-121.7891644,CON-Construction Material,0.0289781
37.31477606,-121.8856758,CON-Construction Material,0.006112001
37.31569664,-121.8624212,CON-Construction Material,0.054951
37.31569664,-121.8624212,CON-Construction Material,0.054951
37.31829305,-121.8585909,CON-Construction Material,0.0971429
37.32015115,-121.9724316,CON-Construction Material,0.066659
37.320302,-121.8289065,CON-Construction Material,0.1394626
37.32034777,-121.879746,CON-Construction Material,9.65E-07
37.32271948,-121.8719277,CON-Construction Material,0.0410803
37.32331968,-121.9501245,CON-Construction Material,0.1466003
37.32452037,-121.9209612,CON-Construction Material,0.0965511
37.32564264,-121.8740988,CON-Construction Material,0.0310621
37.32683866,-121.7613175,CON-Construction Material,0.016639
37.32734853,-121.7670332,CON-Construction Material,0.1666447
37.32763175,-121.848679,CON-Construction Material,0.046953
37.32812475,-121.8688754,CON-Construction Material,0.029375
37.32918283,-121.9010387,CON-Construction Material,0.0257746
37.33228733,-121.8258532,CON-Construction Material,0.0133846
37.33376298,-121.8440671,CON-Construction Material,0.0302622
37.33437321,-121.9093767,CON-Construction Material,0.0641113
37.33487831,-121.8290379,CON-Construction Material,0.0011186
37.33696094,-121.857845,CON-Construction Material,3.74E-06
37.34090295,-121.8257948,CON-Construction Material,0.0318871
37.34249774,-121.8983839,CON-Construction Material,0.0937518
37.34273496,-121.9014197,CON-Construction Material,0.0203248
37.34273496,-121.9014197,CON-Construction Material,0.0203248
37.34356984,-121.8792265,CON-Construction Material,0.0373143
37.34495156,-121.8393662,CON-Construction Material,0.0370623
